,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
260,All,FP,NEW,401687,369062,89694,28891,30970,25273,6349,27102,55717,54042,3734,6125,5691,28303,17530,0.243032336,0.295217421,3.34302,,,,,
17,All,FP,OLD,401884,369121,89365,29148,30904,25039,6256,27166,55764,53737,3615,6086,3699,27459,17061,0.242102183,0.294893551,3.34584,,,,,
44,All,FP,OLD,401701,369188,89344,28881,30721,25181,6387,27055,55599,53984,3632,6016,3576,27454,17071,0.242001365,0.294310943,3.33594,,Old,High,Low,Avg
71,All,FP,OLD,401842,369296,89479,28865,30907,25355,6265,26952,55675,53842,3681,5890,3645,27709,17245,0.242296153,0.29450381,3.3405,,,3.402,3.333,3.351
98,All,FP,OLD,402869,370104,90226,29125,30774,25572,6339,27541,56700,53694,3640,6006,3550,27640,17303,0.243785531,0.296252628,3.402,,-,-,-,-
125,All,FP,OLD,401588,369276,89340,28707,30729,25334,6257,27020,55551,53820,3605,5975,3717,27427,17080,0.241932863,0.293950516,3.33306,,-,-,-,-
151,All,NH,NEW,417257,375877,103395,36519,49058,31096,10800,12441,53974,72683,4861,8290,5797,38042,23675,0.275076687,0.335318521,3.23844,,New,High,Low,Avg
178,All,NH,NEW,417654,375907,103389,36830,48658,31545,10820,12366,54145,72918,4917,8214,5714,38182,23831,0.275038773,0.335730054,3.2487,,,3.259,3.197,3.234
205,All,NH,NEW,417205,375897,103423,36467,49151,30921,11032,12319,53781,73443,4841,8256,5778,38239,23810,0.27513654,0.335302789,3.22686,,,,,
232,All,NH,NEW,418036,376386,103868,36596,49256,31308,10828,12476,54316,72956,5054,8288,5962,38001,23861,0.27596138,0.336009339,3.25896,,Diffs,0.023,0.042,0.022
259,All,NH,NEW,416843,375642,102977,36395,48977,31035,10651,12314,53282,72399,4806,8322,5848,38037,23830,0.274136012,0.334351303,3.19692,,,,,
